"collectionCode","catalogNumber","Genus","standardGenus","authority","error"
"Mammals","38656","Platymops","Mormopterus","Species 2000 & ITIS Catalogue of Life: May 2012","Genus is a synonym."
"Mammals","0011160002","Pteropusina; not in msw3","Pteropus","Species 2000 & ITIS Catalogue of Life: April 2013","Genus misspelled."
"Mammals","75974","Torontoceros - extinct","Torontoceros","Interim Register of Marine and Nonmarine Genera","Genus contains extant status."
"Mammals","23300","UNKNOWN",,,"Genus not recorded."
"Mammals","19282","UNKNOWN",,,"Genus not recorded."
"Mammals","16981","UNKNOWN",,,"Genus not recorded."
"Mammals","16980","UNKNOWN",,,"Genus not recorded."
"Mammals","20309","UNKNOWN",,,"Genus not recorded."
"Mammals","16982","UNKNOWN",,,"Genus not recorded."
"Mammals","16978","UNKNOWN",,,"Genus not recorded."
"Mammals","19485","UNKNOWN",,,"Genus not recorded."
"Mammals","16977","UNKNOWN",,,"Genus not recorded."
"Mammals","16983","UNKNOWN",,,"Genus not recorded."
"Mammals","19281","UNKNOWN",,,"Genus not recorded."
"Mammals","16979","UNKNOWN",,,"Genus not recorded."
"Mammals","15315","UNKNOWN",,,"Genus not recorded."
"Mammals","15306","UNKNOWN",,,"Genus not recorded."
"Mammals","33810","UNKNOWN",,,"Genus not recorded."
"Mammals","20152","UNKNOWN",,,"Genus not recorded."
"Mammals","41604","UNKNOWN",,,"Genus not recorded."
"Mammals","33896","UNKNOWN",,,"Genus not recorded."
"Mammals","41634","UNKNOWN",,,"Genus not recorded."
"Mammals","41605","UNKNOWN",,,"Genus not recorded."
"Mammals","41606","UNKNOWN",,,"Genus not recorded."
"Mammals","41603","UNKNOWN",,,"Genus not recorded."
"Mammals","34528","UNKNOWN",,,"Genus not recorded."
"Mammals","34039","UNKNOWN",,,"Genus not recorded."
"Mammals","34152","UNKNOWN",,,"Genus not recorded."
"Mammals","34149","UNKNOWN",,,"Genus not recorded."
"Mammals","34147","UNKNOWN",,,"Genus not recorded."
"Mammals","34151","UNKNOWN",,,"Genus not recorded."
"Mammals","34156","UNKNOWN",,,"Genus not recorded."
"Mammals","33993","UNKNOWN",,,"Genus not recorded."
"Mammals","33994","UNKNOWN",,,"Genus not recorded."
"Mammals","34000","UNKNOWN",,,"Genus not recorded."
"Mammals","34145","UNKNOWN",,,"Genus not recorded."
"Mammals","34146","UNKNOWN",,,"Genus not recorded."
"Mammals","34157","UNKNOWN",,,"Genus not recorded."
"Mammals","34154","UNKNOWN",,,"Genus not recorded."
"Mammals","34028","UNKNOWN",,,"Genus not recorded."
"Mammals","34012","UNKNOWN",,,"Genus not recorded."
"Mammals","34109","UNKNOWN",,,"Genus not recorded."
"Mammals","33988","UNKNOWN",,,"Genus not recorded."
"Mammals","34030","UNKNOWN",,,"Genus not recorded."
"Mammals","34010","UNKNOWN",,,"Genus not recorded."
"Mammals","34001","UNKNOWN",,,"Genus not recorded."
"Mammals","34003","UNKNOWN",,,"Genus not recorded."
"Mammals","34004","UNKNOWN",,,"Genus not recorded."
"Mammals","34006","UNKNOWN",,,"Genus not recorded."
"Mammals","34007","UNKNOWN",,,"Genus not recorded."
"Mammals","34038","UNKNOWN",,,"Genus not recorded."
"Mammals","34037","UNKNOWN",,,"Genus not recorded."
"Mammals","34034","UNKNOWN",,,"Genus not recorded."
"Mammals","34033","UNKNOWN",,,"Genus not recorded."
"Mammals","34032","UNKNOWN",,,"Genus not recorded."
"Mammals","33989","UNKNOWN",,,"Genus not recorded."
"Mammals","34026","UNKNOWN",,,"Genus not recorded."
"Mammals","34024","UNKNOWN",,,"Genus not recorded."
"Mammals","34009","UNKNOWN",,,"Genus not recorded."
"Mammals","34031","UNKNOWN",,,"Genus not recorded."
"Mammals","33999","UNKNOWN",,,"Genus not recorded."
"Mammals","34029","UNKNOWN",,,"Genus not recorded."
"Mammals","34025","UNKNOWN",,,"Genus not recorded."
"Mammals","33987","UNKNOWN",,,"Genus not recorded."
"Mammals","34011","UNKNOWN",,,"Genus not recorded."
"Mammals","33985","UNKNOWN",,,"Genus not recorded."
"Mammals","34002","UNKNOWN",,,"Genus not recorded."
"Mammals","21476","UNKNOWN",,,"Genus not recorded."
"Mammals","109787","UNKNOWN",,,"Genus not recorded."
"Mammals","32284","UNKNOWN",,,"Genus not recorded."
"Mammals","88418","UNKNOWN",,,"Genus not recorded."
"Mammals","52049","UNKNOWN",,,"Genus not recorded."
"Mammals","38919","UNKNOWN",,,"Genus not recorded."
"Mammals","53098","UNKNOWN",,,"Genus not recorded."
"Mammals","102644","UNKNOWN",,,"Genus not recorded."
"Mammals","102636","UNKNOWN",,,"Genus not recorded."
"Mammals","102505","UNKNOWN",,,"Genus not recorded."
"Mammals","45071","UNKNOWN",,,"Genus not recorded."
"Mammals","44946","UNKNOWN",,,"Genus not recorded."
"Mammals","38921","UNKNOWN",,,"Genus not recorded."
"Mammals","50156","UNKNOWN",,,"Genus not recorded."
"Mammals","25282","UNKNOWN",,,"Genus not recorded."
"Mammals","44982","UNKNOWN",,,"Genus not recorded."
"Mammals","3312260002","UNKNOWN",,,"Genus not recorded."
"Mammals","38920","UNKNOWN",,,"Genus not recorded."
"Mammals","38922","UNKNOWN",,,"Genus not recorded."
"Mammals","102503","UNKNOWN",,,"Genus not recorded."
"Mammals","53000","UNKNOWN",,,"Genus not recorded."
"Mammals","52999","UNKNOWN",,,"Genus not recorded."
"Mammals","44973","UNKNOWN",,,"Genus not recorded."
"Mammals","20795","UNKNOWN",,,"Genus not recorded."
"Mammals","25283","UNKNOWN",,,"Genus not recorded."
"Mammals","15535","UNKNOWN",,,"Genus not recorded."
"Mammals","112778","UNKNOWN",,,"Genus not recorded."
"Mammals","11188","UNKNOWN",,,"Genus not recorded."
"Mammals","100139","UNKNOWN",,,"Genus not recorded."
"Mammals","94948","UNKNOWN",,,"Genus not recorded."
"Mammals","2712100022","UNKNOWN",,,"Genus not recorded."
"Mammals","16054","UNKNOWN",,,"Genus not recorded."
"Mammals","15533","UNKNOWN",,,"Genus not recorded."
"Mammals","20796","UNKNOWN",,,"Genus not recorded."
"Mammals","15534","UNKNOWN",,,"Genus not recorded."
"Mammals","53189","UNKNOWN",,,"Genus not recorded."
"Mammals","53196","UNKNOWN",,,"Genus not recorded."
"Mammals","3211170023","UNKNOWN",,,"Genus not recorded."
"Mammals","12933","UNKNOWN",,,"Genus not recorded."
"Mammals","3109150002","UNKNOWN",,,"Genus not recorded."
"Mammals","1802260001","UNKNOWN",,,"Genus not recorded."
"Mammals","53193","UNKNOWN",,,"Genus not recorded."
"Mammals","3203110027","UNKNOWN",,,"Genus not recorded."
"Mammals","61480","UNKNOWN",,,"Genus not recorded."
"Mammals","90521","UNKNOWN",,,"Genus not recorded."
"Mammals","27975","UNKNOWN",,,"Genus not recorded."
"Mammals","90518","UNKNOWN",,,"Genus not recorded."
"Mammals","3002140002","UNKNOWN",,,"Genus not recorded."
"Mammals","99969","UNKNOWN",,,"Genus not recorded."
"Mammals","3408100001","UNKNOWN",,,"Genus not recorded."
"Mammals","90519","UNKNOWN",,,"Genus not recorded."
"Mammals","90520","UNKNOWN",,,"Genus not recorded."
"Mammals","105386","UNKNOWN",,,"Genus not recorded."
"Mammals","87181","UNKNOWN",,,"Genus not recorded."
"Mammals","15532","UNKNOWN",,,"Genus not recorded."
"Mammals","90522","UNKNOWN",,,"Genus not recorded."
"Mammals","90517","UNKNOWN",,,"Genus not recorded."
"Mammals","15531","UNKNOWN",,,"Genus not recorded."
"Mammals","90523","UNKNOWN",,,"Genus not recorded."
"Mammals","9112300002","UNKNOWN",,,"Genus not recorded."
"Mammals","15530","UNKNOWN",,,"Genus not recorded."
"Mammals","113355","UNKNOWN",,,"Genus not recorded."
"Mammals","71453","UNKNOWN",,,"Genus not recorded."
"Mammals","74053","UNKNOWN",,,"Genus not recorded."
"Mammals","71452","UNKNOWN",,,"Genus not recorded."
"Mammals","71458","UNKNOWN",,,"Genus not recorded."
"Mammals","14783","UNKNOWN",,,"Genus not recorded."
"Mammals","72116","UNKNOWN",,,"Genus not recorded."
"Mammals","101603","UNKNOWN",,,"Genus not recorded."
"Mammals","101578","UNKNOWN",,,"Genus not recorded."
"Mammals","94055","UNKNOWN",,,"Genus not recorded."
"Mammals","72117","UNKNOWN",,,"Genus not recorded."
"Mammals","75963","UNKNOWN",,,"Genus not recorded."
"Mammals","71137","UNKNOWN",,,"Genus not recorded."
"Mammals","25287","UNKNOWN",,,"Genus not recorded."
"Mammals","101712","UNKNOWN",,,"Genus not recorded."
"Mammals","101701","UNKNOWN",,,"Genus not recorded."
"Mammals","71438","UNKNOWN",,,"Genus not recorded."
"Mammals","71439","UNKNOWN",,,"Genus not recorded."
"Mammals","71449","UNKNOWN",,,"Genus not recorded."
"Mammals","71441","UNKNOWN",,,"Genus not recorded."
"Mammals","71443","UNKNOWN",,,"Genus not recorded."
"Mammals","71444","UNKNOWN",,,"Genus not recorded."
"Mammals","94044","UNKNOWN",,,"Genus not recorded."
"Mammals","101707","UNKNOWN",,,"Genus not recorded."
"Mammals","71447","UNKNOWN",,,"Genus not recorded."
"Mammals","101805","UNKNOWN",,,"Genus not recorded."
"Mammals","71448","UNKNOWN",,,"Genus not recorded."
"Mammals","101807","UNKNOWN",,,"Genus not recorded."
"Mammals","101781","UNKNOWN",,,"Genus not recorded."
"Mammals","101814","UNKNOWN",,,"Genus not recorded."
"Mammals","71450","UNKNOWN",,,"Genus not recorded."
"Mammals","71446","UNKNOWN",,,"Genus not recorded."
"Mammals","71440","UNKNOWN",,,"Genus not recorded."
"Mammals","71445","UNKNOWN",,,"Genus not recorded."
"Mammals","71451","UNKNOWN",,,"Genus not recorded."
"Mammals","71442","UNKNOWN",,,"Genus not recorded."
"Mammals","101714","UNKNOWN",,,"Genus not recorded."
"Mammals","71454","UNKNOWN",,,"Genus not recorded."
"Mammals","71455","UNKNOWN",,,"Genus not recorded."
"Mammals","71456","UNKNOWN",,,"Genus not recorded."
"Mammals","71457","UNKNOWN",,,"Genus not recorded."
"Mammals","101732","UNKNOWN",,,"Genus not recorded."
"Mammals","101755","UNKNOWN",,,"Genus not recorded."
"Mammals","57067","UNKNOWN",,,"Genus not recorded."
